female,education,age,dem
1,lths,65,2.176
1,lths,66,2.343
1,lths,67,2.405
1,lths,68,2.311
1,lths,69,2.452
1,lths,70,2.442
1,lths,71,2.51
1,lths,72,2.569
1,lths,73,2.489
1,lths,74,2.435
1,lths,75,2.43
1,lths,76,2.405
1,lths,77,2.385
1,lths,78,2.366
1,lths,79,2.342
1,lths,80,2.198
1,lths,81,2.028
1,lths,82,1.95
1,lths,83,1.828
1,lths,84,1.678
1,lths,85,1.505
1,lths,86,1.382
1,lths,87,1.263
1,lths,88,1.122
1,lths,89,0.939
1,lths,90,0.835
1,lths,91,0.664
1,lths,92,0.566
1,lths,93,0.47
1,lths,94,0.397
1,lths,95,0.307
1,lths,96,0.218
1,lths,97,0.155
1,lths,98,0.126
1,lths,99,0.081
1,lths,100,0.055
1,hs,65,0.71
1,hs,66,0.668
1,hs,67,0.738
1,hs,68,0.755
1,hs,69,0.842
1,hs,70,0.886
1,hs,71,0.862
1,hs,72,0.962
1,hs,73,1.011
1,hs,74,1.018
1,hs,75,1.017
1,hs,76,1.053
1,hs,77,1.066
1,hs,78,1.124
1,hs,79,1.065
1,hs,80,1.124
1,hs,81,1.104
1,hs,82,1.118
1,hs,83,1.078
1,hs,84,1.038
1,hs,85,0.969
1,hs,86,0.906
1,hs,87,0.866
1,hs,88,0.791
1,hs,89,0.744
1,hs,90,0.691
1,hs,91,0.58
1,hs,92,0.494
1,hs,93,0.454
1,hs,94,0.379
1,hs,95,0.321
1,hs,96,0.223
1,hs,97,0.192
1,hs,98,0.152
1,hs,99,0.088
1,hs,100,0.063
1,sc,65,0.381
1,sc,66,0.353
1,sc,67,0.395
1,sc,68,0.45
1,sc,69,0.521
1,sc,70,0.592
1,sc,71,0.579
1,sc,72,0.636
1,sc,73,0.718
1,sc,74,0.75
1,sc,75,0.787
1,sc,76,0.874
1,sc,77,0.873
1,sc,78,0.974
1,sc,79,0.958
1,sc,80,1.038
1,sc,81,1.079
1,sc,82,1.091
1,sc,83,1.138
1,sc,84,1.083
1,sc,85,0.988
1,sc,86,0.985
1,sc,87,1.035
1,sc,88,0.942
1,sc,89,0.886
1,sc,90,0.808
1,sc,91,0.712
1,sc,92,0.627
1,sc,93,0.574
1,sc,94,0.491
1,sc,95,0.378
1,sc,96,0.283
1,sc,97,0.204
1,sc,98,0.175
1,sc,99,0.115
1,sc,100,0.076
1,co,65,0.141
1,co,66,0.138
1,co,67,0.187
1,co,68,0.22
1,co,69,0.236
1,co,70,0.271
1,co,71,0.298
1,co,72,0.326
1,co,73,0.397
1,co,74,0.454
1,co,75,0.44
1,co,76,0.498
1,co,77,0.524
1,co,78,0.652
1,co,79,0.657
1,co,80,0.692
1,co,81,0.798
1,co,82,0.878
1,co,83,0.885
1,co,84,0.966
1,co,85,1.042
1,co,86,1.098
1,co,87,1.049
1,co,88,1.203
1,co,89,1.174
1,co,90,1.239
1,co,91,1.109
1,co,92,1.166
1,co,93,1.184
1,co,94,1.115
1,co,95,1.009
1,co,96,1.031
1,co,97,0.828
1,co,98,0.793
1,co,99,0.674
1,co,100,0.534
2,lths,65,1.782
2,lths,66,1.792
2,lths,67,1.858
2,lths,68,1.949
2,lths,69,2.116
2,lths,70,2.148
2,lths,71,2.213
2,lths,72,2.425
2,lths,73,2.521
2,lths,74,2.47
2,lths,75,2.522
2,lths,76,2.605
2,lths,77,2.687
2,lths,78,2.715
2,lths,79,2.659
2,lths,80,2.721
2,lths,81,2.607
2,lths,82,2.689
2,lths,83,2.515
2,lths,84,2.371
2,lths,85,2.27
2,lths,86,2.177
2,lths,87,2.063
2,lths,88,1.929
2,lths,89,1.732
2,lths,90,1.528
2,lths,91,1.311
2,lths,92,1.139
2,lths,93,1.026
2,lths,94,0.878
2,lths,95,0.699
2,lths,96,0.541
2,lths,97,0.445
2,lths,98,0.347
2,lths,99,0.231
2,lths,100,0.193
2,hs,65,0.465
2,hs,66,0.458
2,hs,67,0.537
2,hs,68,0.601
2,hs,69,0.664
2,hs,70,0.745
2,hs,71,0.805
2,hs,72,0.891
2,hs,73,0.963
2,hs,74,1.09
2,hs,75,1.144
2,hs,76,1.208
2,hs,77,1.243
2,hs,78,1.44
2,hs,79,1.496
2,hs,80,1.537
2,hs,81,1.665
2,hs,82,1.701
2,hs,83,1.78
2,hs,84,1.86
2,hs,85,1.839
2,hs,86,1.84
2,hs,87,1.787
2,hs,88,1.749
2,hs,89,1.76
2,hs,90,1.524
2,hs,91,1.412
2,hs,92,1.292
2,hs,93,1.155
2,hs,94,1.007
2,hs,95,0.788
2,hs,96,0.595
2,hs,97,0.493
2,hs,98,0.399
2,hs,99,0.259
2,hs,100,0.207
2,sc,65,0.355
2,sc,66,0.309
2,sc,67,0.391
2,sc,68,0.45
